"","timestamp","lane","cross_x","cross_y"
"110",54,"MID",7394.94774718398,7458.55225281602
"111",54,"TOP",2062.88677450048,12744.6132254995
"112",55,"BOT",12679.876056338,2272.12394366197
"113",55,"MID",7394.94774718398,7458.55225281602
"114",55,"TOP",2062.88677450048,12744.6132254995
"115",56,"BOT",12679.876056338,2272.12394366197
"116",56,"MID",7394.94774718398,7458.55225281602
"117",56,"TOP",2062.88677450048,12744.6132254995
"118",57,"BOT",12679.876056338,2272.12394366197
"119",57,"MID",7394.94774718398,7458.55225281602
"120",57,"TOP",2062.88677450048,12744.6132254995
"121",58,"BOT",12679.876056338,2272.12394366197
"122",58,"MID",7394.94774718398,7458.55225281602
"123",58,"TOP",2062.88677450048,12744.6132254995
"124",59,"BOT",12679.876056338,2272.12394366197
"125",59,"MID",7394.94774718398,7458.55225281602
