video;frame;timestamp;lol_x;lol_y;confidence;class
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12433,34187;2253,852324;0,709441721;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12093,45107;13425,06537;0,702926278;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12422,25856;13555,13894;0,689284325;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12363,93058;12219,21538;0,688523769;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;11563,60478;13232,40487;0,681382596;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12056,48239;11782,1986;0,680145085;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;2756,980657;3357,87393;0,634007275;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;13226,50671;11535,54722;0,627816796;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;11954,11892;11564,66486;0,61531204;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12514,83677;12387,36872;0,56203866;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;2940,602491;1299,444903;0,452602983;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12187,40968;2097,542832;0,448460788;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;2020,649829;1924,76462;0,443773419;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;2376,597775;1083,85157;0,343528807;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;13364,43374;7641,957038;0,338409275;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;12343,76456;1836,606014;0,329888165;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;6625,913603;870,4204963;0,306598693;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;2716,138473;3307,675135;0,300523818;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0111.png;128;10208,95126;13081,75665;0,268814534;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;1069,591417;2320,440458;0,778132617;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2557,266963;2937,090993;0,747902155;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;1246,991984;2900,127599;0,743974626;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;11674,13422;13306,72087;0,735960364;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2825,030074;1243,84105;0,729091942;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;11999,78548;11720,74658;0,72606492;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12072,84139;1868,939209;0,722145736;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12419,38241;12291,89161;0,711434364;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2770,492334;3348,895515;0,708228111;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2311,858463;1097,885527;0,706680715;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;1376,518858;3663,397145;0,702178001;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;3638,737219;1392,3356;0,701899052;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2053,227782;2166,049158;0,699545264;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;10678,12416;13248,47225;0,699411273;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12295,25597;1740,395508;0,698797107;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;1276,99005;3921,193058;0,697585821;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;13292,61231;11687,13735;0,697560668;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;13471,12674;12189,14071;0,687701404;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;1125,893507;2580,735115;0,676597953;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12192,84307;13476,04776;0,675186157;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;11942,82967;13406,05303;0,674568176;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2256,07594;2458,43294;0,665877879;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12169,13835;11954,30355;0,660008729;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12411,94608;2285,770838;0,656249225;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;2129,780619;2287,889261;0,624719739;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12309,35547;12102,76197;0,624177277;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;3321,93801;1470,035975;0,616015732;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;13406,13794;11946,85235;0,614310741;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;12186,61651;2078,911851;0,586766481;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0112.png;129;1457,102896;3404,242266;0,544528961;Blue Side
